COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_REVENUE_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,AVG_USD_AMT_ALL_COLLECT,AVG_REVENUE_USD_AMT_ALL_COLLECT,AVG_NET_REVENUE_USD_AMT_ALL_COLLECT,FREQ_ACTIVE_COLLECT,PAYTYPE_COUNT_ALL_COLLECT,SUPPLIER_PAYMENT_PERCENT_COLLECT,RENT_PAYMENT_PERCENT_COLLECT,PAYROLL_PAYMENT_PERCENT_COLLECT,MONTHS_SINCE_FIRST_PAYMENT_ALL_COLLECT,MONTHS_SINCE_LAST_PAYMENT_ALL_COLLECT,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
692,6365.398050000000,165.500349300000,2.769506520000,1.000000,1.0,0.000000,0.000000,1.000000,61.0,61.0,0.9555958151429195,0,SINGAPORE SWIM CENTRE,,,,,,,,,,,10,lapsed_3
4354,1443.488978921379,29.401746637241,5.546457950000,7.250000,5.0,0.172414,0.000000,0.000000,4.0,1.0,0.6155453091954498,0,M^2 WEALTH MANAGEMENT LLP,,,,,,,,,,,2,active_3
1553,,,,,,,,,,,0.9555958151429195,1,DAISY CONSULTANTS PTE. LTD.,615.445893333333,3.011052488889,0.100919891111,0.264706,1.0,1.000000,0.000000,0.000000,35.0,2.0,4,
1372,12204.813208500000,317.324398930000,120.521925535000,0.500000,1.0,0.000000,0.000000,1.000000,12.0,9.0,0.9555958151429195,1,AGGREGATE CONSULTANCY SERVICES PTE. LTD.,1617.925848900141,44.584944542817,4.466631426338,1.392157,1.0,1.000000,0.000000,0.000000,50.0,0.0,4,active_2
662,1042.287400000000,9.380586600000,6.194165120000,0.666667,1.0,0.000000,1.000000,0.000000,57.0,55.0,0.9555958151429195,0,VIOLET SEAN,,,,,,,,,,,4,lapsed_0
2542,266.810684580000,7.742706400000,1.332638890000,1.000000,1.0,1.000000,0.000000,0.000000,25.0,25.0,0.9555958151429195,0,WDF PTE. LTD.,,,,,,,,,,,4,lapsed_1
1218,4010.111432580000,0E-12,-86.517299110000,1.000000,1.0,1.000000,0.000000,0.000000,54.0,54.0,0.9555958151429195,0,XDATA ANALYTICS PTE. LTD.,,,,,,,,,,,4,lapsed_2
1090,29646.588822714286,528.759842930000,142.333916497143,0.636364,2.0,0.142857,0.000000,0.857143,10.0,0.0,0.34407703983656435,0,THE I QUADRANT PTE. LTD.,,,,,,,,,,,10,active_2
1686,464.234807960000,10.262808435000,3.886243020000,0.055556,1.0,0.000000,0.000000,0.000000,41.0,6.0,0.9555958151429195,0,BLAZE GUARD PTE. LTD.,,,,,,,,,,,0,active_3
3274,,,,,,,,,,,0.9555958151429195,1,INCONTACT COUNSELLING & TRAINING PTE. LTD.,310.452747000000,4.036630202000,-2.815664962000,1.666667,1.0,1.000000,0.000000,0.000000,12.0,10.0,10,
1292,4913.640600000000,127.754655600000,10.355869810000,1.000000,1.0,0.000000,0.000000,1.000000,50.0,50.0,0.9555958151429195,1,101 PROPERTY MANAGEMENT PTE. LTD.,2231.984018000000,58.033073450000,27.330264610000,1.000000,1.0,0.000000,0.000000,0.000000,49.0,49.0,4,lapsed_3
3044,9678.383000000000,216.014063650000,46.376826026667,3.000000,1.0,1.000000,0.000000,0.000000,19.0,19.0,0.9555958151429195,0,YUKI & WHITE @ UP-SERVICES,,,,,,,,,,,2,lapsed_1
2820,2382.371200000000,61.941651200000,2.918404720000,1.000000,1.0,0.000000,1.000000,0.000000,22.0,22.0,0.9555958151429195,0,ABPROBUS MANAGEMENT PTE. LTD.,,,,,,,,,,,4,lapsed_0
818,119.118560000000,3.097082560000,1.317749070000,1.000000,1.0,1.000000,0.000000,0.000000,61.0,52.0,0.4670993664969122,0,COHEREAN PTE. LTD.,,,,,,,,,,,4,lapsed_2
3039,14717.910260000000,420.641475860000,52.833142220000,0.647059,1.0,0.000000,1.000000,0.000000,19.0,3.0,1.016915547802572,0,WARRANTEE PTE. LTD.,,,,,,,,,,,11,active_0
1385,,,,,,,,,,,0.9555958151429195,1,SDR ENTERPRISE PTE. LTD.,1161.539968380000,30.500307288000,7.840979212000,5.000000,1.0,1.000000,0.000000,0.000000,49.0,49.0,4,
3568,1344.261635328333,23.827641258056,6.153424918056,2.571429,2.0,0.750000,0.000000,0.000000,13.0,0.0,0.663559427787041,0,DUCHESS REAL ESTATE INVESTMENT PTE. LTD.,,,,,,,,,,,4,active_1
2592,,,,,,,,,,,0.9555958151429195,1,MELIOR PTE. LTD.,3790.650375600000,2.531269400000,-57.884175250000,1.000000,1.0,1.000000,0.000000,0.000000,25.0,25.0,3,
4463,15957.075146503333,276.322797923333,1.166369233333,2.000000,1.0,1.000000,0.000000,0.000000,2.0,0.0,1.0478186887340426,0,HARDLYWORKINGCO PTE. LTD.,,,,,,,,,,,4,active_1
3845,1642.203341685789,29.631721393421,14.919403721316,3.800000,3.0,0.210526,0.526316,0.000000,9.0,0.0,0.3996919448080264,0,THE CHEMISTRY PRACTICE TUITION CENTRE PTE. LTD.,,,,,,,,,,,10,active_0
603,1042.287400000000,9.380586600000,6.194165120000,1.000000,1.0,0.000000,1.000000,0.000000,58.0,58.0,0.9555958151429195,0,MY MAID,,,,,,,,,,,13,lapsed_0
2119,29407.394500000000,352.888734000000,123.607840730000,1.000000,1.0,1.000000,0.000000,0.000000,33.0,33.0,0.9555958151429195,0,AICHAT PTE. LTD.,,,,,,,,,,,11,lapsed_1
3805,,,,,,,,,,,0.9555958151429195,1,THE MARKETING LADS SG,5424.148714285714,136.773632285714,12.382480667857,4.666667,1.0,1.000000,0.000000,0.000000,9.0,7.0,4,
2504,,,,,,,,,,,0.9555958151429195,1,EDUSPORT EVENTS AND TRAINING CONSULTANCY PTE. LTD.,3379.678935416667,87.872272730000,18.110984393333,0.187500,1.0,1.000000,0.000000,0.000000,26.0,11.0,10,
2423,1757.074089079981,34.906193851651,7.772318424765,18.379310,6.0,0.874296,0.043152,0.060038,28.0,0.0,0.3989826933408976,0,WATER TIGER INVESTMENTS PTE. LTD.,,,,,,,,,,,4,active_1
2484,5705.362984911765,112.673457619412,28.444811430588,1.545455,1.0,0.000000,0.000000,1.000000,27.0,6.0,1.0469925576485128,0,KINGSTRIDE PTE. LTD.,,,,,,,,,,,13,active_2
1198,6309.330432790000,15.142946940000,-133.777587790000,1.000000,1.0,0.000000,0.000000,0.000000,55.0,55.0,0.9555958151429195,0,SAN LIM TRANSPORT & CONSTRUCTION PTE LTD,,,,,,,,,,,2,lapsed_3
3776,2177.914394044074,59.173523367037,12.966551583333,2.454545,1.0,1.000000,0.000000,0.000000,10.0,0.0,0.4152017952156155,0,THE BUSINESS TAILOR LLP,,,,,,,,,,,4,active_1
556,3895.269973375000,61.416785045000,6.298393860000,0.666667,1.0,0.000000,0.000000,0.000000,59.0,57.0,0.9555958151429195,0,SG NEXTBUS PTE. LTD.,,,,,,,,,,,11,lapsed_3
2034,8813.080467466000,193.522990540000,86.771915032000,0.217391,1.0,1.000000,0.000000,0.000000,35.0,13.0,1.351191213370724,0,AD NAVITAS PTE. LTD.,,,,,,,,,,,4,lapsed_1
1351,1135.184986980000,8.920863407500,-14.126716725000,0.190476,1.0,0.000000,1.000000,0.000000,50.0,30.0,2.642337335864591,0,GRATIF PTE. LTD.,,,,,,,,,,,11,lapsed_0
