PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
MANUFACTURE OF SPRINGS,Mining & Metals,0.3456763029098511
MUSIC PUBLISHING AND DISTRIBUTION ACTIVITIES,Publishing,0.6061733961105347
MASS RAPID TRANSIT SYSTEMS (INCLUDING LIGHT RAIL),Transportation/Trucking/Railroad,0.5482958555221558
INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES),Financial Services,0.6191941499710083
"INSTALLATION AND ERECTION OF BUILDING EQUIPMENT (EG LIFTS, ESCALATORS, TRAVELLATORS)",Construction,0.5967494249343872
INTERNATIONAL AND FOREIGN SYSTEM SCHOOLS,Primary/Secondary Education,0.547457754611969
TREASURY CENTRES,Facilities Services,0.5017060041427612
MANUFACTURE OF SAUSAGE,Food Production,0.465716153383255
PROVISION OF MILLING SERVICES,Mining & Metals,0.4921107590198517
STENOGRAPHIC AND SECRETARIAL SERVICES,Legal Services,0.4968251585960388
SUPPORTING SERVICES TO LAND TRANSPORT N.E.C.,Environmental Services,0.5165988206863403
MANUFACTURE OF METAL PRECISION COMPONENTS,Mining & Metals,0.39513611793518066
"MANUFACTURE AND REPAIR OF OTHER SPECIAL PURPOSE MACHINERY N.E.C. (INCLUDING PLATING EQUIPMENT, INDUSTRIAL PAINT MIXERS AND CHEMICAL MIXING EQUIPMENT)",Machinery,0.5014959573745728
"WHOLESALE OF BAGS, LUGGAGE AND TRAVEL ACCESSORIES",Wholesale,0.6473791599273682
NATIONAL POST ACTIVITIES (EG POSTAL SERVICES),Government Administration,0.39850324392318726
"CHILD/STUDENT CARE SERVICES FOR SCHOOL-GOING CHILDREN (EG BEFORE AND AFTER-SCHOOL CARE CENTRES, STUDENT CARE CENTRES)",Individual & Family Services,0.5781478881835938
RECYCLING OF METAL WASTE AND SCRAP,Mining & Metals,0.5643739104270935
"WHOLESALE OF HANDPHONES, HANDPHONE PERIPHERAL EQUIPMENT AND OTHER TELECOMMUNICATIONS EQUIPMENT",Business Supplies & Equipment,0.5950084924697876
ACTIVITIES OF AUCTION HOUSES,Capital Markets,0.4106109142303467
"TRAINING COURSES FOR CONSTRUCTION, REAL ESTATE, SECURITY AND INVESTIGATION SERVICES, CLEANING, LANDSCAPING, WASTE MANAGEMENT AND PEST MANAGEMENT",Professional Training & Coaching,0.47929537296295166
WHOLESALE OF ARTIFICIAL FLOWERS AND PLANTS,Wholesale,0.4844566583633423
MANUFACTURE AND REPAIR OF WIRING DEVICES,Electrical and Electronics,0.5187225341796875
ACTIVITIES OF BUSINESS AND EMPLOYERS' MEMBERSHIP ORGANISATIONS,Civic & Social Organization,0.49252963066101074
SPECIALISED EDUCATION SCHOOLS,Primary/Secondary Education,0.6548291444778442
TRANSPORT VIA PIPELINES,Transportation/Trucking/Railroad,0.4496321678161621
WHOLESALE OF SECURITY AND SAFETY EQUIPMENT,Business Supplies & Equipment,0.6521035432815552
"MANUFACTURE AND REPAIR OF MACHINERY FOR MINING, QUARRYING AND CONSTRUCTION N.E.C.",Mining & Metals,0.5593901872634888
MOSQUES,Religious Institutions,0.6135653257369995
"MANUFACTURE OF BREAD, CAKES AND CONFECTIONERY (EXCLUDING FROZEN BAKERY PRODUCTS)",Food Production,0.49185696244239807
"RETAIL SALE OF HOUSEHOLD ELECTRICAL APPLIANCES AND EQUIPMENT (EG VACUUM CLEANERS, WASHING MACHINES, REFRIGERATORS)",Business Supplies & Equipment,0.5246013402938843
PUBS,Restaurants,0.5799351930618286
REPAIR OF WATCHES AND CLOCKS,Machinery,0.309192955493927
"MANUFACTURE OF DERIVATIVES AND INTERMEDIATES PRODUCED FROM BASIC BUILDING BLOCKS (EG ACETYLS, ACRYLICS, OXOCHEMICALS, STYRENIRS, PHENOLICS, ETHYLENE OXIDE DERIVATIVES AND POLYMERS)",Chemicals,0.4344854950904846
BUILDING CONSTRUCTION N.E.C.,Construction,0.7346060872077942
OTHER HEALTH SERVICES N.E.C. (EXCLUDING ONLINE MARKETPLACES),Hospital & Health Care,0.6025903224945068
WHOLESALE OF TEXTILES AND LEATHERS,Wholesale,0.7166485786437988
STALLS SELLING COOKED FOOD AND PREPARED DRINKS (INCLUDING STALLS AT FOOD COURTS AND MOBILE FOOD HAWKERS),Food & Beverages,0.5597121119499207
FREIGHT TRANSPORT BY ROAD,Transportation/Trucking/Railroad,0.7083030939102173
SAWMILLING,Farming,0.5855873227119446
RICE MILLING,Farming,0.5700428485870361
WHOLESALE OF PAPER AND PAPER PRODUCTS,Paper & Forest Products,0.653134822845459
OTHER CREDIT AGENCIES N.E.C. (EG MOTOR FINANCE),Financial Services,0.39486828446388245
ARCHITECTURAL SERVICES,Architecture & Planning,0.5664529800415039
